"idx","file","title","caption","date","ts"
"1","ig-001.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"2","ig-002.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"3","ig-003.jpg","It was such a wonderful time having you guys on boat! See you next...","It was such a wonderful time having you guys on boat! See you next summer‍  #thechineseuniversityofhongkong #boatparty #isacuhk #中大 #internationalstudent #summer","Oct 2025","1761397384"
"4","ig-004.jpg","Please Welcome ISA's 17th Cabinet!","Please Welcome ISA's 17th Cabinet!  With new crew, new vibes, same unstoppable ISA spirit, we are ready to make waves  Buckle up, because this ride is just getting started!","Apr 2026","1776343760"
"5","ig-005.jpg","The moment you've been waiting for!","The moment you've been waiting for!  The results of #LOCKINorLOGIN are now LIVE. Who rose to the top?Slide to see the full breakdown!  #esport #cuhkisa #chineseuniversityofhongkong #clashroyale","Jan 2026","1768818671"
"6","ig-006.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752149162"
"7","ig-007.jpg","Get ready to show off your skills with your best duo with the CLASH...","Get ready to show off your skills with your best duo with the CLASH 2V2 Tournament!! Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - Maximum of 1 Champions will be allowed per deck - ‍ Heros are NOT allowed - All games will be recorded - Onsite finale (Top 4) will...","Dec 2025","1765804197"
"8","ig-008.jpg","SPEED is the name of the game!","SPEED is the name of the game! The friendship version of 'fast food'-quick, fun, and surprisingly filling let's speedrun this friendship thing with 3 rounds. 20 minutes. Infinite chaos! Sign up now! : https://forms.gle/tMNBMoCR6ZxNw83KA Meet Seniors from @shhoisa @ccia.cuhk @mcsu2526  #cuhk #isa...","Aug 2025","1754994488"
"9","ig-009.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"10","ig-010.jpg","So, you've seen the schedule... but what is the Meet & Greet really...","So, you've seen the schedule... but what is the Meet & Greet really about?  Let us break it down for you! Think of it as your friendly, fun-filled launchpad into university life!  It's NOT just another orientation. It's where:  You walk in knowing no one and walk out with a brand-new family.   Yo...","Aug 2025","1756391412"
